	sum 	other
AFNI/2017.08.11	711	
AFNI/2018.08.28	80483	
AFNI/2020.1.01	509	
ANTs/2.3.1-foss-2018a	1	
ATK/2.28.1-foss-2018a	25	
Autoconf/2.69	0	
Autoconf/2.69-GCCcore-6.4.0	2	
Autoconf/2.69-GCCcore-7.3.0	0	
Automake/1.15	0	
Automake/1.15.1-GCCcore-6.4.0	1	
Automake/1.16.1-GCCcore-7.3.0	0	
Autotools/20150215	0	
Autotools/20170619-GCCcore-6.4.0	1	
Autotools/20180311-GCCcore-7.3.0	0	
BXH_XCEDE_TOOLS/1.11.1	59886	
BioImageSuite/3.01	0	
Bison/3.0.4	0	
Bison/3.0.4-GCCcore-5.4.0	0	
Bison/3.0.4-GCCcore-6.4.0	0	
Bison/3.0.4-GCCcore-7.3.0	0	
Bison/3.0.5-GCCcore-7.3.0	0	
Blender/2.79b-foss-2018a-Python-3.6.4	9	
Boost/1.66.0-foss-2018a-Python-2.7.14	0	
Boost/1.66.0-foss-2018a-Python-3.6.4	15	
Boost/1.67.0-foss-2018a-Python-2.7.14	1	
Boost/1.67.0-foss-2018b	0	
CMake/3.10.2-GCCcore-6.4.0	1	
CMake/3.11.4-GCCcore-7.3.0	0	
CMake/3.12.0	0	
CMake/3.12.1-GCCcore-6.4.0	26	
CMake/3.12.1-GCCcore-7.3.0	0	
CMake/3.9.5-GCCcore-6.4.0	1	
CUDA/10.1.105	1826	
CUDA/10.2.89	10433	
CUDA/7.5.18	0	
CUDA/9.1.85	1	
CUDA/9.1.85-GCC-6.4.0-2.28	439	
CUDA/9.2.148.1	3	
Caffe/rc2-foss-2018a-cpm-fork	0	
Caret/5.65	20397	
ConnectomeWorkbench/1.2.2	0	
ConnectomeWorkbench/1.3.2	493637	
ConnectomeWorkbench/1.4.2	2471	
DCMTK/3.6.4	2	
DSI_Studio/2017_12_13	0	
DTIPrep/1.2.4	0	
Doxygen/1.8.14-GCCcore-6.4.0	0	
EasyBuild/3.6.2	0	
EasyBuild/3.9.1	0	
EasyBuild/3.9.3	0	
EasyBuild/4.0.0	13	
EasyBuild/4.2.2	35	
EasyBuild/4.3.0	0	
EasyBuild/4.3.1	0	
Eigen/3.3.2-foss-2016b	0	
Eigen/3.3.4	64	
Eigen/3.3.7	0	
FFTW/3.3.4-gompi-2016b	0	
FFTW/3.3.7-gompi-2018a	16483	
FFTW/3.3.8-gompi-2018b	0	
FFmpeg/2.8.3-foss-2018a	0	
FFmpeg/3.4.2-foss-2018a	144	
FSL/5.0.10	36944	
FSL/5.0.10-centos7_64	0	
FSL/5.0.9	60004	
FSL/6.0.0	7955	
FSL/6.0.0-centos7_64	0	
FSL/6.0.1-centos7_64	368	
FSL/6.0.3-centos7_64	73	
FSLeyes/0.32.3	9	
FSLeyes/0.33.1	3	
FreeSurfer/5.3.0	37	
FreeSurfer/5.3.0-HCP	1559	
FreeSurfer/6.0.0	564218	
FreeSurfer/7.1.0-centos7_x86_64	55	
FriBidi/1.0.1-foss-2018a	0	
GCC/5.4.0-2.26	2179	
GCC/6.4.0-2.28	45535	
GCC/7.3.0-2.30	0	
GCCcore/5.4.0	2180	
GCCcore/6.4.0	31703	
GCCcore/7.3.0	0	
GLib/2.54.3-GCCcore-6.4.0	1864	
GLib/2.54.3-GCCcore-7.3.0	0	
GLib/2.56.4-GCCcore-6.4.0	14	
GMP/6.1.2-GCCcore-6.4.0	6279	
GMP/6.1.2-GCCcore-7.3.0	0	
GObject-Introspection/1.54.1-foss-2018a-Python-2.7.14	0	
GSL/2.5-foss-2018a	0	
GTK+/2.24.32-foss-2018a	25	
Gdk-Pixbuf/2.36.11-foss-2018a	25	
HDF5/1.10.1-GCCcore-6.4.0-serial	20224	
HDF5/1.10.1-foss-2018a	0	
HarfBuzz/1.7.5-foss-2018a	25	
JUnit/4.12-Java-1.8.0_92	0	
JasPer/2.0.14-GCCcore-6.4.0	22	
Java/1.7.0_45	0	
Java/1.8.0_92	20610	
Julia/1.3.1-linux-x86_64	94	
LAME/3.100-GCCcore-6.4.0	133	
LLVM/5.0.1-GCCcore-6.4.0	93	
LLVM/6.0.0-GCCcore-7.3.0	0	
LMDB/0.9.21-GCCcore-6.4.0	0	
LevelDB/1.18-foss-2018a	0	
LibTIFF/4.0.9-GCCcore-6.4.0	29	
LibTIFF/4.0.9-GCCcore-7.3.0	0	
M4/1.4.17	0	
M4/1.4.17-GCCcore-5.4.0	0	
M4/1.4.18	0	
M4/1.4.18-GCCcore-6.4.0	2	
M4/1.4.18-GCCcore-7.3.0	0	
MATLAB/2012b	0	
MATLAB/2013b	0	
MATLAB/2014a	1	
MATLAB/2016b	61067	
MATLAB/2017a	306	
MATLAB/2017b	20497	
MATLAB/2018b	1376	
MATLAB/2019b	3097	
MATLAB/2020a	0	
MATLAB/2020b	0	
MRtrix3/3.0_RC3-foss-2018a	90	
Mako/1.0.7-foss-2018a-Python-2.7.14	0	
Mako/1.0.7-foss-2018b-Python-3.6.6	0	
Mako/1.1.0-foss-2018a-Python-3.6.4	0	
Mesa/17.3.6-foss-2018a	93	
Mesa/18.1.1-foss-2018b	0	
NASM/2.13.03-GCCcore-6.4.0	4356	
NASM/2.13.03-GCCcore-7.3.0	0	
NLopt/2.4.2-foss-2018a	0	
Octave/4.2.1-foss-2016b	0	
OpenBLAS/0.2.18-GCC-5.4.0-2.26-LAPACK-3.6.1	2175	
OpenBLAS/0.2.20-GCC-6.4.0-2.28	40246	
OpenBLAS/0.3.1-GCC-7.3.0-2.30	0	
OpenCV/3.0.0-foss-2018a-Python-2.7.14	0	
OpenCV/3.4.1-foss-2018a-Python-2.7.14	2	
OpenCV/3.4.1-foss-2018a-Python-3.6.4	4	
OpenCV/3.4.10-foss-2018a-Python-3.6.4	13	
OpenColorIO/1.1.0-foss-2018a	11	
OpenEXR/2.3.0-foss-2018a	16	
OpenImageIO/1.8.16-foss-2018a	12	
OpenMPI/1.10.3-GCC-5.4.0-2.26	1	
OpenMPI/2.1.2-GCC-6.4.0-2.28	117262	
OpenMPI/3.1.1-GCC-7.3.0-2.30	0	
PCRE/8.39-GCCcore-5.4.0	0	
PCRE/8.41-GCCcore-6.4.0	4305	
PCRE/8.41-GCCcore-7.3.0	0	
Pango/1.41.1-foss-2018a	25	
Perl/5.26.1-GCCcore-6.4.0	1921	
Perl/5.28.0-GCCcore-7.3.0	0	
Python/2.7.14-GCCcore-6.4.0-bare	6	
Python/2.7.14-foss-2018a	6229	
Python/2.7.15-GCCcore-7.3.0-bare	0	
Python/3.6.4-foss-2018a	36	
Python/3.6.6-foss-2018b	0	
Python/Anaconda2	27879	
Python/Anaconda3	221649	
Python/miniconda	42	
Qhull/2015.2-GCCcore-6.4.0	1	
Qt/4.8.7-foss-2018a	64	
R/3.4.4-foss-2018a-X11-20180131	21266	
R/3.5.3-foss-2018a-X11-20180131	395	
R/3.6.1-foss-2018b-X11-20180604	0	
REAP/1.2-GCCcore-6.4.0	1	
RStudio/1.1.442	0	
RStudio/1.1.463-foss-2018a-R-3.4.4-X11-20180131	13	
RStudio/1.2.5033	0	
RStudio/1.2.5042	0	
RStudio/1.3.1093	0	
Rclone/1.49.1	11	
Rclone/1.51.0	1	
SPM/12	15	
SPM/8	1	
SQLite/3.21.0-GCCcore-6.4.0	16208	
SQLite/3.24.0-GCCcore-7.3.0	0	
SWIG/3.0.12-foss-2018a-Python-2.7.14	0	
ScaLAPACK/2.0.2-gompi-2016b-OpenBLAS-0.2.18-LAPACK-3.6.1	0	
ScaLAPACK/2.0.2-gompi-2018a-OpenBLAS-0.2.20	16500	
ScaLAPACK/2.0.2-gompi-2018b-OpenBLAS-0.3.1	0	
Stata/15	1	
StdEnv	280	
Szip/2.1.1-GCCcore-6.4.0	1783	
Tcl/8.6.8-GCCcore-6.4.0	16255	
Tcl/8.6.8-GCCcore-7.3.0	0	
Tk/8.6.8-GCCcore-7.3.0	0	
Tk/8.6.8-foss-2018a	2	
Tkinter/2.7.14-foss-2018a-Python-2.7.14	2	
X11/20180131-GCCcore-6.4.0	4439	
X11/20180604-GCCcore-7.3.0	0	
XML-Parser/2.44_01-GCCcore-6.4.0-Perl-5.26.1	0	
XML-Parser/2.44_01-GCCcore-7.3.0-Perl-5.28.0	0	
XNATClientTools/1.0	35	
XZ/5.2.3-GCCcore-6.4.0	4458	
XZ/5.2.4-GCCcore-7.3.0	0	
Yasm/1.3.0-GCCcore-6.4.0	133	
ant/1.10.1-Java-1.8.0_92	22	
attr/2.4.48-GCCcore-7.3.0	0	
awscli/1.16.141-foss-2018a-Python-2.7.14	6139	
binutils/2.26	0	
binutils/2.26-GCCcore-5.4.0	2178	
binutils/2.28	0	
binutils/2.28-GCCcore-6.4.0	31338	
binutils/2.30	0	
binutils/2.30-GCCcore-7.3.0	0	
brainiak/0.8-Python-Anaconda3	106982	
brainiak/0.9.1-Python-Anaconda3	98762	
bzip2/1.0.6-GCCcore-6.4.0	4473	
bzip2/1.0.6-GCCcore-7.3.0	0	
cURL/7.55.1-GCCcore-6.4.0	23294	
cURL/7.58.0-GCCcore-6.4.0	344	
cURL/7.60.0-GCCcore-7.3.0	0	
cairo/1.14.12-GCCcore-6.4.0	20403	
cairo/1.14.12-GCCcore-7.3.0	0	
cuDNN//7.6.2.24-CUDA-10.1.105	20	
cuDNN/7.6.2.24-CUDA-10.1.105	0	
cuDNN/7.6.5.32-CUDA-10.2.89	1931	
dSQ/0.92	0	
dSQ/0.93	0	
dSQ/0.95	0	
dSQ/0.96	100	
dSQ/1.0	1	
dSQ/1.01	0	
dSQ/1.02	1	
dSQ/1.03	6	
dSQ/1.04	2	
dSQ/1.05	56	
dcm2niix/3-Jan-2018	6	
dtcmp/1.1.0-gompi-2018b	0	
expat/2.2.4-GCCcore-6.4.0	20551	
expat/2.2.5-GCCcore-6.4.0	23190	
expat/2.2.5-GCCcore-7.3.0	0	
flex/2.6.0	0	
flex/2.6.0-GCCcore-5.4.0	0	
flex/2.6.3	0	
flex/2.6.4	0	
flex/2.6.4-GCCcore-6.4.0	0	
flex/2.6.4-GCCcore-7.3.0	0	
fmriprep/1.1.8	8	
fmriprep/1.5.0	227	
fontconfig/2.12.6-GCCcore-6.4.0	4439	
fontconfig/2.13.0-GCCcore-7.3.0	0	
foss/2016b	0	
foss/2018a	16488	
foss/2018b	0	
freeglut/3.0.0-foss-2018a	0	
freetype/2.9-GCCcore-6.4.0	4444	
freetype/2.9.1-GCCcore-7.3.0	0	
gettext/0.19.8.1	0	
gettext/0.19.8.1-GCCcore-6.4.0	7688	
gettext/0.19.8.1-GCCcore-6.4.0-libxml2-2.9.7	1865	
gettext/0.19.8.1-GCCcore-7.3.0	0	
gflags/2.2.1-foss-2018a	1	
git/2.14.1-GCCcore-6.4.0	20576	
glog/0.3.5-foss-2018a	1	
gompi/2016b	0	
gompi/2018a	16505	
gompi/2018b	0	
gperf/3.1-GCCcore-6.4.0	0	
gperf/3.1-GCCcore-7.3.0	0	
help2man/1.47.4	0	
help2man/1.47.4-GCCcore-6.4.0	0	
help2man/1.47.4-GCCcore-7.3.0	0	
hwloc/1.11.10-GCCcore-7.3.0	0	
hwloc/1.11.3-GCC-5.4.0-2.26	1	
hwloc/1.11.8-GCCcore-6.4.0	29084	
intltool/0.51.0-GCCcore-6.4.0-Perl-5.26.1	0	
intltool/0.51.0-GCCcore-7.3.0-Perl-5.28.0	0	
king/2.2.5	1	
libGLU/9.0.0-foss-2018a	75	
libGLU/9.0.0-foss-2018b	0	
libarchive/3.4.2-GCCcore-7.3.0	0	
libcircle/0.3-gompi-2018b	0	
libdrm/2.4.91-GCCcore-6.4.0	93	
libdrm/2.4.92-GCCcore-7.3.0	0	
libffi/3.2.1-GCCcore-6.4.0	1893	
libffi/3.2.1-GCCcore-7.3.0	0	
libgd/2.2.5-GCCcore-6.4.0	0	
libjpeg-turbo/1.5.3-GCCcore-6.4.0	22790	
libjpeg-turbo/2.0.0-GCCcore-7.3.0	0	
libpciaccess/0.14-GCCcore-7.3.0	0	
libpng/1.6.34-GCCcore-6.4.0	23146	
libpng/1.6.34-GCCcore-7.3.0	0	
libreadline/6.3-GCCcore-5.4.0	0	
libreadline/7.0-GCCcore-6.4.0	16282	
libreadline/7.0-GCCcore-7.3.0	0	
libtool/2.4.6	0	
libtool/2.4.6-GCCcore-6.4.0	1	
libtool/2.4.6-GCCcore-7.3.0	0	
libunwind/1.2.1-GCCcore-7.3.0	0	
libxml2/2.9.4-GCCcore-6.4.0	7692	
libxml2/2.9.7-GCCcore-6.4.0	4689	
libxml2/2.9.8-GCCcore-7.3.0	0	
lwgrp/1.0.2-gompi-2018b	0	
matplotlib/2.1.2-foss-2018a-Python-2.7.14	2	
miniconda/4.6.14	101961	
miniconda/4.8.3	10295	
miniconda/4.9.2	0	
minio/2018.10.18	0	
mpifileutils/0.10.1-gompi-2018b	0	
ncurses/6.0	0	
ncurses/6.0-GCCcore-5.4.0	0	
ncurses/6.0-GCCcore-6.4.0	4597	
ncurses/6.1-GCCcore-7.3.0	0	
nettle/3.4-foss-2018a	93	
nettle/3.4-foss-2018b	0	
nilearn/0.5.0-Python-Anaconda3	205792	
numactl/2.0.11-GCC-5.4.0-2.26	1	
numactl/2.0.11-GCCcore-6.4.0	29123	
numactl/2.0.11-GCCcore-7.3.0	0	
parallel/20180822-foss-2018b	0	
pixman/0.34.0-GCCcore-6.4.0	1802	
pixman/0.34.0-GCCcore-7.3.0	0	
pkg-config/0.29.2-GCCcore-6.4.0	1	
pkg-config/0.29.2-GCCcore-7.3.0	0	
protobuf-python/3.6.0-foss-2018a-Python-2.7.14	0	
protobuf/3.6.0-GCCcore-6.4.0	0	
scikit-image/0.13.1-foss-2018a-Python-2.7.14	1	
snappy/1.1.7-GCCcore-6.4.0	0	
util-linux/2.31.1-GCCcore-6.4.0	1864	
util-linux/2.32-GCCcore-7.3.0	0	
x264/20180128-GCCcore-6.4.0	133	
x265/2.6-GCCcore-6.4.0	133	
xget/0.10	1	
xorg-macros/1.19.2-GCCcore-7.3.0	0	
zlib/1.2.11	1529	
zlib/1.2.11-GCCcore-6.4.0	4702	
zlib/1.2.11-GCCcore-7.3.0	0	
zlib/1.2.8	0	
zlib/1.2.8-GCCcore-5.4.0	0	